datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharedname,securityid,result,file
7/31/2019 12:40:17 AM,4672,system,,,,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:40:17 AM,4624,system,	-,,		c:\windows\system32\services.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:40:05 AM,4688,user,,,	c:\program files (x86)\internet explorer\iexplore.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:40:04 AM,4688,user,,,	c:\program files (x86)\internet explorer\iexplore.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:39:40 AM,4688,user,,,	c:\program files\internet explorer\iexplore.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:39:13 AM,4688,user,,,	c:\program files\internet explorer\iexplore.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:38:49 AM,4688,user,,,	c:\windows\system32\notepad.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:37:31 AM,4688,localadmin$,,,	c:\windows\system32\searchprotocolhost.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:37:31 AM,5140,anonymous logon,		10.0.19.241,,,,		\\*\ipc$,anonymous logon,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:37:31 AM,4624,anonymous logon,	10.0.19.241,,		-,,,null sid,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:37:31 AM,4624,anonymous logon,	10.0.19.241,,		-,,,null sid,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:37:28 AM,4688,localadmin$,,,	c:\windows\system32\thumbnailextractionhost.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:37:24 AM,4688,localadmin$,,,	c:\windows\system32\searchfilterhost.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:36:37 AM,4688,user,,,	c:\program files\windows nt\accessories\wordpad.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:36:07 AM,4688,user,,,	c:\windows\system32\notepad.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:36:02 AM,4688,localadmin$,,,	c:\windows\system32\thumbnailextractionhost.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:35:43 AM,4688,user,,,	c:\windows\system32\ipconfig.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:35:37 AM,4688,user,,,	c:\windows\system32\conhost.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:35:36 AM,4688,user,,,	c:\windows\system32\cmd.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:35:32 AM,4688,localadmin$,,,	c:\windows\system32\wudfhost.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:35:30 AM,4688,localadmin$,,,	c:\windows\syswow64\werfault.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:35:16 AM,4688,user,,,	c:\windows\system32\taskhostex.exe,,,localadmin\user,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
7/31/2019 12:35:13 AM,4688,localadmin$,,,	c:\windows\system32\werfault.exe,,,system,normal,/Users/marikof/Documents/tmp/log/win8.1x64-security-20190731.csv
